variant,set_name,symbol,date,direction,sweep_reference,entry_trigger,sweep_time,sweep_level,sweep_extreme,confirmation_time,entry_time,entry_price,stop_price,target_price,exit_time,exit_price,outcome,pnl_per_share,r_multiple,risk_per_share,stop_pct,mfe_r,mae_r,minutes_held,bias_15m,bias_1h,fvg_time,fvg_size,order_block_low,order_block_high,failure_reason
opening_15m__market_1m_mss__no_bank_filter,train,SBIN,2026-01-21,SHORT,opening_15m,market_1m_mss,2026-01-21 10:00:00,1038.5,1039.05,2026-01-21 10:05:00,2026-01-21 10:16:00,1036.4,1040.6499999999999,1027.9000000000005,2026-01-21 10:51:00,1027.9000000000005,target,8.499999999999545,2.0,4.249999999999773,0.0041007333076030225,2.141176470588382,0.15294117647056432,35.0,-1,-1,2026-01-21 10:16:00,0.3000000000001819,1038.55,1040.6,
opening_15m__market_1m_mss__no_bank_filter,train,SBIN,2026-01-22,SHORT,opening_15m,market_1m_mss,2026-01-22 09:35:00,1052.95,1053.65,2026-01-22 09:45:00,2026-01-22 09:48:00,1049.0,1055.55,1035.9,2026-01-22 15:15:00,1048.85,time_exit,0.15000000000009095,0.02290076335879267,6.5499999999999545,0.006244041944709204,1.1450381679389392,0.07633587786259595,327.0,1,-1,2026-01-22 09:48:00,0.9500000000000455,1052.05,1055.5,
opening_15m__market_1m_mss__no_bank_filter,train,SBIN,2026-01-23,LONG,opening_15m,market_1m_mss,2026-01-23 10:00:00,1044.5,1043.55,2026-01-23 10:25:00,2026-01-23 10:06:00,1046.95,1043.5,1053.8500000000001,2026-01-23 11:55:00,1046.95,breakeven,0.0,0.0,3.4500000000000455,0.0032952863078466454,1.4347826086956463,0.3333333333333553,109.0,1,1,2026-01-23 10:06:00,1.1499999999998636,1046.75,1047.55,
opening_15m__market_1m_mss__no_bank_filter,train,SBIN,2026-01-27,SHORT,opening_15m,market_1m_mss,2026-01-27 10:40:00,1038.55,1041.8,2026-01-27 10:50:00,2026-01-27 10:42:00,1039.25,1041.85,1034.0500000000002,2026-01-27 11:26:00,1039.25,breakeven,0.0,0.0,2.599999999999909,0.0025018041857107617,1.6923076923077864,0.5576923076923447,44.0,1,-1,2026-01-27 10:42:00,1.0499999999999545,1038.45,1039.6,
opening_15m__market_1m_mss__no_bank_filter,train,SBIN,2026-02-03,LONG,opening_15m,market_1m_mss,2026-02-03 10:15:00,1049.7,1048.4,2026-02-03 10:25:00,2026-02-03 10:30:00,1054.6,1046.75,1070.2999999999997,2026-02-03 15:15:00,1065.7,time_exit,11.100000000000136,1.4140127388535368,7.849999999999909,0.007443580504456581,1.7324840764331584,0.07643312101909758,285.0,1,1,2026-02-03 10:30:00,1.1000000000001364,1046.8,1048.8,
opening_15m__market_1m_mss__no_bank_filter,train,SBIN,2026-02-18,SHORT,opening_15m,market_1m_mss,2026-02-18 10:15:00,1220.9,1221.2,2026-02-18 10:35:00,2026-02-18 10:34:00,1219.5,1221.25,1216.0,2026-02-18 10:44:00,1216.0,target,3.5,2.0,1.75,0.0014350143501435015,2.2285714285714806,0.0,10.0,1,-1,2026-02-18 10:34:00,0.40000000000009095,1219.6,1221.0,
opening_15m__market_1m_mss__no_bank_filter,train,SBIN,2026-02-25,LONG,opening_15m,market_1m_mss,2026-02-25 10:00:00,1217.0,1215.6,2026-02-25 10:05:00,2026-02-25 10:06:00,1219.7,1214.95,1229.2,2026-02-25 10:44:00,1214.95,stop,-4.75,-1.0,4.75,0.0038944002623595964,0.6526315789473492,1.115789473684201,38.0,-1,1,2026-02-25 10:06:00,1.3999999999998636,1215.0,1217.3,Opening-range whipsaw after liquidity grab
opening_15m__market_1m_mss__no_bank_filter,train,SBIN,2026-03-11,LONG,opening_15m,market_1m_mss,2026-03-11 10:40:00,1106.3,1105.9,2026-03-11 10:50:00,2026-03-11 10:52:00,1107.0,1104.45,1112.1,2026-03-11 11:14:00,1107.0,breakeven,0.0,0.0,2.5499999999999545,0.0023035230352303113,1.2941176470588287,0.07843137254903884,22.0,1,1,2026-03-11 10:52:00,0.20000000000004547,1104.5,1106.3,
opening_15m__market_1m_mss__no_bank_filter,train,SBIN,2026-03-12,SHORT,opening_15m,market_1m_mss,2026-03-12 09:50:00,1080.2,1080.9,2026-03-12 10:05:00,2026-03-12 10:02:00,1077.9,1081.85,1070.0000000000005,2026-03-12 10:37:00,1077.9,breakeven,0.0,0.0,3.949999999999818,0.0036645328880228387,1.518987341772222,0.07594936708859958,35.0,-1,-1,2026-03-12 10:02:00,1.1000000000001364,1079.0,1081.8,
opening_15m__market_1m_mss__no_bank_filter,train,SBIN,2026-03-16,SHORT,opening_15m,market_1m_mss,2026-03-16 09:55:00,1057.9,1059.9,2026-03-16 10:15:00,2026-03-16 10:09:00,1055.2,1059.95,1045.7,2026-03-16 10:25:00,1045.7,target,9.5,2.0,4.75,0.004501516300227445,2.0631578947368325,0.252631578947378,16.0,-1,-1,2026-03-16 10:09:00,0.2999999999999545,1056.4,1058.6,
opening_15m__market_1m_mss__no_bank_filter,train,SBIN,2026-03-17,LONG,opening_15m,market_1m_mss,2026-03-17 10:20:00,1056.7,1056.1,2026-03-17 10:45:00,2026-03-17 10:23:00,1059.9,1051.95,1075.8000000000002,2026-03-17 10:30:00,1051.95,stop,-7.9500000000000455,-1.0,7.9500000000000455,0.007500707613925885,0.06289308176100593,1.069182389937101,7.0,1,1,2026-03-17 10:23:00,0.5,1052.0,1053.9,SMC trap: sweep kept running with almost no follow-through
opening_15m__market_1m_mss__no_bank_filter,train,SBIN,2026-03-18,LONG,opening_15m,market_1m_mss,2026-03-18 10:15:00,1064.2,1063.1,2026-03-18 10:20:00,2026-03-18 10:18:00,1065.3,1061.95,1071.9999999999998,2026-03-18 11:07:00,1061.95,stop,-3.349999999999909,-1.0,3.349999999999909,0.003144654088050229,0.6567164179104792,1.104477611940342,49.0,1,1,2026-03-18 10:18:00,0.40000000000009095,1062.0,1064.0,Opening-range whipsaw after liquidity grab
opening_15m__market_1m_mss__no_bank_filter,train,SBIN,2026-03-20,SHORT,opening_15m,market_1m_mss,2026-03-20 09:55:00,1081.0,1082.6,2026-03-20 10:00:00,2026-03-20 09:58:00,1079.9,1085.05,1069.6000000000004,2026-03-20 11:54:00,1069.6000000000004,target,10.299999999999727,2.0,5.149999999999864,0.004768960088896993,2.0000000000000884,0.38834951456311706,116.0,1,-1,2026-03-20 09:58:00,0.599999999999909,1083.9,1085.0,
opening_15m__market_1m_mss__no_bank_filter,train,SBIN,2026-03-27,LONG,opening_15m,market_1m_mss,2026-03-27 09:50:00,1040.1,1039.5,2026-03-27 10:00:00,2026-03-27 10:00:00,1041.4,1039.45,1045.3000000000002,2026-03-27 10:24:00,1045.3000000000002,target,3.900000000000091,2.0,1.9500000000000455,0.0018724793547148504,2.2051282051281302,0.7692307692307513,24.0,-1,1,2026-03-27 10:00:00,0.40000000000009095,1039.5,1041.3,
opening_15m__market_1m_mss__no_bank_filter,train,SBIN,2026-03-30,SHORT,opening_15m,market_1m_mss,2026-03-30 10:00:00,1006.2,1006.7,2026-03-30 10:15:00,2026-03-30 10:16:00,1001.6,1006.75,991.3000000000001,2026-03-30 10:53:00,991.3000000000001,target,10.299999999999955,2.0,5.149999999999977,0.005141773162939275,2.0388349514563195,0.0,37.0,-1,-1,2026-03-30 10:16:00,0.7999999999999545,1004.2,1004.8,
opening_15m__market_1m_mss__no_bank_filter,train,SBIN,2026-04-01,LONG,opening_15m,market_1m_mss,2026-04-01 10:35:00,1002.45,1002.0,2026-04-01 11:05:00,2026-04-01 10:38:00,1004.2,999.6500000000001,1013.3,2026-04-01 11:00:00,999.6500000000001,stop,-4.5499999999999545,-1.0,4.5499999999999545,0.004530969926309455,0.1758241758241676,1.010989010989026,22.0,1,1,2026-04-01 10:38:00,0.3000000000000682,999.7,1001.15,SMC trap: sweep kept running with almost no follow-through
opening_15m__market_1m_mss__no_bank_filter,test,SBIN,2026-04-24,LONG,opening_15m,market_1m_mss,2026-04-24 09:45:00,1091.35,1090.05,2026-04-24 10:00:00,2026-04-24 09:52:00,1094.6,1090.0,1103.7999999999997,2026-04-24 14:44:00,1103.7999999999997,target,9.199999999999818,2.0,4.599999999999909,0.004202448382970865,2.478260869565286,0.543478260869576,292.0,1,-1,2026-04-24 09:52:00,0.40000000000009095,1092.25,1093.55,
opening_15m__market_1m_mss__no_bank_filter,test,SBIN,2026-04-27,LONG,opening_15m,market_1m_mss,2026-04-27 09:35:00,1108.2,1106.65,2026-04-27 09:45:00,2026-04-27 09:46:00,1111.0,1106.6000000000001,1119.7999999999997,2026-04-27 10:21:00,1106.6000000000001,stop,-4.399999999999864,-1.0,4.399999999999864,0.003960396039603837,0.2954545454545443,1.0000000000000517,35.0,1,1,2026-04-27 09:46:00,0.650000000000091,1108.25,1110.2,Opening-range whipsaw after liquidity grab
opening_15m__market_1m_mss__no_bank_filter,test,SBIN,2026-05-07,LONG,opening_15m,market_1m_mss,2026-05-07 10:10:00,1092.5,1092.2,2026-05-07 10:40:00,2026-05-07 10:18:00,1094.1,1092.15,1097.9999999999995,2026-05-07 10:53:00,1094.1,breakeven,0.0,0.0,1.949999999999818,0.001782286811077432,1.9487179487182238,0.5641025641025701,35.0,1,1,2026-05-07 10:18:00,0.3999999999998636,1094.1,1094.9,
opening_15m__market_1m_mss__no_bank_filter,test,SBIN,2026-05-08,SHORT,opening_15m,market_1m_mss,2026-05-08 11:15:00,1093.4,1095.0,2026-05-08 11:20:00,2026-05-08 11:23:00,1090.4,1095.05,1081.1000000000004,2026-05-08 12:08:00,1081.1000000000004,target,9.299999999999727,2.0,4.649999999999864,0.004264490095377717,2.2150537634409644,0.21505376344086652,45.0,-1,1,2026-05-08 11:23:00,0.5,1091.8,1093.9,
opening_15m__market_1m_mss__no_bank_filter,test,SBIN,2026-05-19,LONG,opening_15m,market_1m_mss,2026-05-19 09:35:00,940.6,939.5,2026-05-19 09:40:00,2026-05-19 09:37:00,944.2,939.45,953.7,2026-05-19 14:16:00,953.7,target,9.5,2.0,4.75,0.005030713831815293,2.084210526315785,0.23157894736842585,279.0,1,-1,2026-05-19 09:37:00,0.10000000000002274,941.5,944.0,
opening_15m__market_1m_mss__no_bank_filter,test,SBIN,2026-05-21,LONG,opening_15m,market_1m_mss,2026-05-21 10:20:00,954.3,953.2,2026-05-21 10:25:00,2026-05-21 10:25:00,954.6,952.1500000000001,959.4999999999999,2026-05-21 11:04:00,954.6,breakeven,0.0,0.0,2.449999999999932,0.002566520008380402,1.3877551020408456,0.0,39.0,1,1,2026-05-21 10:25:00,0.10000000000002274,952.2,954.3,
opening_15m__market_1m_mss__no_bank_filter,test,SBIN,2026-05-25,LONG,opening_15m,market_1m_mss,2026-05-25 09:50:00,958.0,957.5,2026-05-25 10:00:00,2026-05-25 10:01:00,959.6,957.45,963.9,2026-05-25 11:18:00,963.9,target,4.2999999999999545,2.0,2.1499999999999773,0.002240516882034157,2.046511627906988,0.279069767441874,77.0,1,-1,2026-05-25 10:01:00,0.20000000000004547,958.4,959.2,
opening_15m__market_1m_mss__no_bank_filter,test,SBIN,2026-05-27,LONG,opening_15m,market_1m_mss,2026-05-27 09:45:00,968.6,967.7,2026-05-27 10:00:00,2026-05-27 10:04:00,970.9,967.6500000000001,977.3999999999997,2026-05-27 10:31:00,970.9,breakeven,0.0,0.0,3.2499999999998863,0.0033474096199401448,1.5384615384615923,0.09230769230768154,27.0,1,-1,2026-05-27 10:04:00,0.5,968.1,969.6,
opening_15m__market_1m_mss__no_bank_filter,test,SBIN,2026-05-29,LONG,opening_15m,market_1m_mss,2026-05-29 10:05:00,967.8,967.3,2026-05-29 10:10:00,2026-05-29 10:06:00,969.1,965.5500000000001,976.1999999999999,2026-05-29 10:45:00,965.5500000000001,stop,-3.5499999999999545,-1.0,3.5499999999999545,0.003663192652976942,0.47887323943660665,1.0985915492957823,39.0,-1,1,2026-05-29 10:06:00,1.0,965.6,966.6,Opening-range whipsaw after liquidity grab
opening_15m__market_1m_mss__no_bank_filter,test,SBIN,2026-06-02,SHORT,opening_15m,market_1m_mss,2026-06-02 10:05:00,950.95,951.85,2026-06-02 10:10:00,2026-06-02 10:07:00,949.35,951.9,944.2500000000001,2026-06-02 10:27:00,949.35,breakeven,0.0,0.0,2.5499999999999545,0.0026860483488702317,1.3725490196078676,0.11764705882351367,20.0,-1,-1,2026-06-02 10:07:00,1.1000000000000227,950.4,951.5,
opening_15m__market_1m_mss__no_bank_filter,test,SBIN,2026-06-03,LONG,opening_15m,market_1m_mss,2026-06-03 09:45:00,943.2,942.3,2026-06-03 09:55:00,2026-06-03 09:59:00,946.35,942.25,954.5500000000001,2026-06-03 10:27:00,942.25,stop,-4.100000000000023,-1.0,4.100000000000023,0.004332435145559278,0.03658536585365279,1.548780487804875,28.0,-1,1,2026-06-03 09:59:00,0.75,943.3,944.1,SMC trap: sweep kept running with almost no follow-through
