Strategy,Rule,Period,WaitDays,CoreFraction,Months,Contributed,FinalValue,GainPct,Units,WeightedAverageNAV,AverageDelayDays,SignalBuys,UnitLiftVsImmediatePct
Core50_Dip50_20,TwentyDayDD_4,Development,20,0.5,104,1040000.0,2881443.271020912,177.06185298278,52911.197251114376,19.655574888320945,15.884615384615385,29,-0.5670624202749441
Core75_Dip25_20,TwentyDayDD_4,Development,20,0.75,104,1040000.0,2889659.65401694,177.85188980932114,53062.072566191986,19.599686738633473,15.884615384615385,29,-0.2835312101374221
WaitAll_5,SixtyDayDD_4,Development,5,0.0,104,1040000.0,2889794.8346605725,177.86488794813198,53064.554853374844,19.59876989213747,4.076923076923077,26,-0.27886639211531783
Core50_Dip50_5,SixtyDayDD_4,Development,5,0.5,104,1040000.0,2893835.435836768,178.25340729199692,53138.75136732218,19.57140454451007,4.076923076923077,26,-0.13943319605769222
Core75_Dip25_5,SixtyDayDD_4,Development,5,0.75,104,1040000.0,2895855.736424865,178.44766696392935,53175.849624295835,19.5577505079454,4.076923076923077,26,-0.06971659802889052
WaitAll_10,SixtyDayDD_4,Development,10,0.0,104,1040000.0,2884445.222347919,177.35050214883836,52966.32130661773,19.635118587517614,7.673076923076923,30,-0.46347098680211696
Core50_Dip50_10,SixtyDayDD_4,Development,10,0.5,104,1040000.0,2891160.62968044,177.99621439235,53089.63459394359,19.589511360446284,7.673076923076923,30,-0.23173549340114175
Core75_Dip25_10,SixtyDayDD_4,Development,10,0.75,104,1040000.0,2894518.333346702,178.31907051410596,53151.291237606565,19.566787104960497,7.673076923076923,30,-0.11586774670058198
WaitAll_15,SixtyDayDD_4,Development,15,0.0,104,1040000.0,2877744.6750000785,176.70621875000757,52843.280889345726,19.680837042986955,11.14423076923077,32,-0.6946936913711954
Core50_Dip50_15,SixtyDayDD_4,Development,15,0.5,104,1040000.0,2887810.35600652,177.67407269293457,53028.1143853076,19.612237999700604,11.14423076923077,32,-0.34734684568565877
Core75_Dip25_15,SixtyDayDD_4,Development,15,0.75,104,1040000.0,2892843.196509743,178.15799966439835,53120.53113328858,19.578117496424507,11.14423076923077,32,-0.17367342284281273
WaitAll_20,SixtyDayDD_4,Development,20,0.0,104,1040000.0,2874546.5816524373,176.39870977427285,52784.55512866658,19.702733071538006,13.98076923076923,39,-0.8050536000351105
Core50_Dip50_20,SixtyDayDD_4,Development,20,0.5,104,1040000.0,2886211.3093326986,177.52031820506718,52998.75150496801,19.623103761274685,13.98076923076923,39,-0.4025268000176552
Core75_Dip25_20,SixtyDayDD_4,Development,20,0.75,104,1040000.0,2892043.6731728334,178.08112242046477,53105.849693118806,19.583529987935737,13.98076923076923,39,-0.20126340000877763
WaitAll_5,SixtyDayDD_5,Development,5,0.0,104,1040000.0,2889019.255774244,177.7903130552158,53050.31309895579,19.6040313289022,4.365384615384615,19,-0.3056300934062728
Core50_Dip50_5,SixtyDayDD_5,Development,5,0.5,104,1040000.0,2893447.6463936036,178.2161198455388,53131.63049011265,19.574027569011555,4.365384615384615,19,-0.1528150467031697
Core75_Dip25_5,SixtyDayDD_5,Development,5,0.75,104,1040000.0,2895661.8417032836,178.42902324070033,53172.28918569108,19.55906010305588,4.365384615384615,19,-0.07640752335161816
WaitAll_10,SixtyDayDD_5,Development,10,0.0,104,1040000.0,2884732.3673102446,177.37811224136965,52971.594075266024,19.63316411664504,8.326923076923077,24,-0.4535621791561639
Core50_Dip50_10,SixtyDayDD_5,Development,10,0.5,104,1040000.0,2891304.2021616027,178.01001943861564,53092.27097826774,19.5885386109346,8.326923076923077,24,-0.22678108957816523
Core75_Dip25_10,SixtyDayDD_5,Development,10,0.75,104,1040000.0,2894590.119587284,178.32597303723884,53152.60942976864,19.56630184589842,8.326923076923077,24,-0.11339054478908261
WaitAll_15,SixtyDayDD_5,Development,15,0.0,104,1040000.0,2874228.4065907146,176.36811601833796,52778.712562331675,19.70491415022221,12.096153846153847,25,-0.8160331953545374
Core50_Dip50_15,SixtyDayDD_5,Development,15,0.5,104,1040000.0,2886052.221801838,177.5050213270998,52995.83022180057,19.62418544340837,12.096153846153847,25,-0.4080165976773409
Core75_Dip25_15,SixtyDayDD_5,Development,15,0.75,104,1040000.0,2891964.129407402,178.07347398148096,53104.38905153507,19.584068634905744,12.096153846153847,25,-0.2040082988386427
WaitAll_20,SixtyDayDD_5,Development,20,0.0,104,1040000.0,2871065.586148746,176.06399866814866,52720.634508892996,19.726621458331866,15.221153846153847,28,-0.9251759054488273
Core50_Dip50_20,SixtyDayDD_5,Development,20,0.5,104,1040000.0,2884470.8115808517,177.35296265200495,52966.791195081205,19.634944396944707,15.221153846153847,28,-0.4625879527245358
Core75_Dip25_20,SixtyDayDD_5,Development,20,0.75,104,1040000.0,2891173.4242969104,177.99744464393368,53089.86953817541,19.589424668903465,15.221153846153847,28,-0.23129397636221238
WaitAll_5,RSI_30,Development,5,0.0,104,1040000.0,2883571.0731785498,177.2664493440913,52950.269531594924,19.641070936937194,4.855769230769231,5,-0.49363615460793486
Core50_Dip50_5,RSI_30,Development,5,0.5,104,1040000.0,2890723.5550957564,177.9541879899766,53081.60870643222,19.592473275475108,4.855769230769231,5,-0.24681807730398964
Core75_Dip25_5,RSI_30,Development,5,0.75,104,1040000.0,2894299.79605436,178.29805731291924,53147.27829385087,19.5682645167613,4.855769230769231,5,-0.12340903865202257
WaitAll_10,RSI_30,Development,10,0.0,104,1040000.0,2876628.3770915237,176.5988824126465,52822.78259967799,19.688474344142936,9.548076923076923,9,-0.7332149356996887
Core50_Dip50_10,RSI_30,Development,10,0.5,104,1040000.0,2887252.207052243,177.62040452425413,53017.86524047374,19.616029338089344,9.548076923076923,9,-0.36660746784989984
Core75_Dip25_10,RSI_30,Development,10,0.75,104,1040000.0,2892564.1220326032,178.13116558005802,53115.40656087163,19.580006392460408,9.548076923076923,9,-0.18330373392497767
WaitAll_15,RSI_30,Development,15,0.0,104,1040000.0,2864397.896376614,175.4228746515975,52598.19744678227,19.772540704503225,14.057692307692308,10,-1.1552647597327659
Core50_Dip50_15,RSI_30,Development,15,0.5,104,1040000.0,2881136.966694788,177.0324006437296,52905.57266402589,19.657664545178754,14.057692307692308,10,-0.5776323798664218
Core75_Dip25_15,RSI_30,Development,15,0.75,104,1040000.0,2889506.5018538763,177.8371636397958,53059.26027264771,19.60072557845524,14.057692307692308,10,-0.28881618993321645
WaitAll_20,RSI_30,Development,20,0.0,104,1040000.0,2857812.6587173585,174.7896787228229,52477.274431486934,19.81810243132575,17.692307692307693,13,-1.3825083538391292
Core50_Dip50_20,RSI_30,Development,20,0.5,104,1040000.0,2877844.3478651587,176.7158026793422,52845.11115637818,19.6801554059079,17.692307692307693,13,-0.6912541769196756
Core75_Dip25_20,RSI_30,Development,20,0.75,104,1040000.0,2887860.1924390635,177.67886465760228,53029.02951882389,19.61189954703636,17.692307692307693,13,-0.34562708845978785
WaitAll_5,RSI_35,Development,5,0.0,104,1040000.0,2886657.8630422265,177.56325606175255,53006.951455196315,19.620068150477422,4.711538461538462,9,-0.38711711016810035
Core50_Dip50_5,RSI_35,Development,5,0.5,104,1040000.0,2892266.9500275953,178.10259134880724,53109.94966823292,19.582018181087893,4.711538461538462,9,-0.19355855508407238
Core75_Dip25_5,RSI_35,Development,5,0.75,104,1040000.0,2895071.49352028,178.37225899233462,53161.448774751225,19.56304848663084,4.711538461538462,9,-0.09677927754204729
WaitAll_10,RSI_35,Development,10,0.0,104,1040000.0,2878337.269201162,176.76319896165018,52854.162543334445,19.67678513773286,9.14423076923077,13,-0.6742444315162466
Core50_Dip50_10,RSI_35,Development,10,0.5,104,1040000.0,2888106.653107062,177.702562798756,53033.555212301966,19.6102259378371,9.14423076923077,13,-0.3371222157581788
Core75_Dip25_10,RSI_35,Development,10,0.75,104,1040000.0,2892991.3450600132,178.17224471730896,53123.25154678575,19.577114911425742,9.14423076923077,13,-0.16856110787909495
WaitAll_15,RSI_35,Development,15,0.0,104,1040000.0,2866648.51309729,175.63928010550867,52639.52493930728,19.75701720711019,13.442307692307692,15,-1.0776004051527122
Core50_Dip50_15,RSI_35,Development,15,0.5,104,1040000.0,2882262.2750551268,177.14060337068526,52926.236410288395,19.649989693917348,13.442307692307692,15,-0.5388002025763949
Core75_Dip25_15,RSI_35,Development,15,0.75,104,1040000.0,2890069.1560340463,177.8912650032737,53069.59214577898,19.596909603962708,13.442307692307692,15,-0.26940010128817526
WaitAll_20,RSI_35,Development,20,0.0,104,1040000.0,2859722.6252568047,174.97332935161586,52512.34665287266,19.80486621317479,16.83653846153846,21,-1.3165991667292931
Core50_Dip50_20,RSI_35,Development,20,0.5,104,1040000.0,2878799.3311348828,176.80762799373872,52862.647267071065,19.67362691364554,16.83653846153846,21,-0.6582995833647187
Core75_Dip25_20,RSI_35,Development,20,0.75,104,1040000.0,2888337.6840739246,177.72477731480043,53037.79757417032,19.60865736450726,16.83653846153846,21,-0.32914979168232605
WaitAll_5,RSI_40,Development,5,0.0,104,1040000.0,2887205.8053270006,177.61594281990392,53017.013177598936,19.61634459708543,4.586538461538462,17,-0.3682087000851486
Core50_Dip50_5,RSI_40,Development,5,0.5,104,1040000.0,2892540.9211699823,178.1289347278829,53114.98052943423,19.580163442282974,4.586538461538462,17,-0.18410435004259096
Core75_Dip25_5,RSI_40,Development,5,0.75,104,1040000.0,2895208.479091473,178.3854306818724,53163.96420535188,19.562122869221742,4.586538461538462,17,-0.09205217502131768
WaitAll_10,RSI_40,Development,10,0.0,104,1040000.0,2879512.0837873844,176.8761619026331,52875.735359613805,19.66875718941483,8.615384615384615,22,-0.633703891782389
