Strategy,Rule,WaitDays,CoreFraction,Period_Dev,Months_Dev,Contributed_Dev,FinalValue_Dev,GainPct_Dev,Units_Dev,WeightedAverageNAV_Dev,AverageDelayDays_Dev,SignalBuys_Dev,UnitLiftVsImmediatePct_Dev,Period_Val,Months_Val,Contributed_Val,FinalValue_Val,GainPct_Val,Units_Val,WeightedAverageNAV_Val,AverageDelayDays_Val,SignalBuys_Val,UnitLiftVsImmediatePct_Val,Pass,Score
Core75_Dip25_15,ThreeDayDrop_2.00,15,0.75,Development,104,1040000.0,2890990.7150049782,177.97987644278638,53086.51449472123,19.590662711589673,12.673076923076923,28,-0.23759891451684556,Validation,32,320000.0,466539.03228289995,45.793447588406245,5462.225196757126,58.584182905893584,12.0,15,-0.05226624465318741,False,-0.28986515917003297
Core75_Dip25_10,DailyDrop_1.25,10,0.75,Development,104,1040000.0,2893896.4492907086,178.25927397026047,53139.87174159048,19.570991910882483,8.971153846153847,22,-0.13732774181598462,Validation,32,320000.0,466062.7544691241,45.644610771601265,5456.648950194575,58.64405112382927,8.34375,10,-0.15430034004690896,False,-0.2916280818628936
Core75_Dip25_15,DailyDrop_0.75,15,0.75,Development,104,1040000.0,2892444.102260676,178.11962521737271,53113.20266885323,19.580818849959492,9.64423076923077,70,-0.1874453800959741,Validation,32,320000.0,466270.93210508866,45.70966628284021,5459.086287801684,58.61786810643372,7.84375,27,-0.1097019645768138,False,-0.2971473446727879
Core75_Dip25_20,TwentyDayDD_3,20,0.75,Development,104,1040000.0,2892043.036941268,178.08106124435267,53105.838010163185,19.583534296191107,13.961538461538462,43,-0.2012853551082161,Validation,32,320000.0,466333.6040009927,45.72925125031022,5459.820048506036,58.609990284855854,13.71875,16,-0.0962756196574821,False,-0.2975609747656982
Core75_Dip25_10,TwentyDayDD_3,10,0.75,Development,104,1040000.0,2894380.6176308957,178.30582861835532,53148.7623995493,19.567718100032735,7.855769230769231,30,-0.12062004507523705,Validation,32,320000.0,465917.1567522964,45.599111485092614,5454.944296430548,58.66237721426276,7.75,10,-0.18549207499281017,False,-0.3061121200680472
Core50_Dip50_5,DailyDrop_1.50,5,0.5,Development,104,1040000.0,2893628.1832027934,178.23347915411475,53134.94564082833,19.572806322791738,4.836538461538462,10,-0.1465850766532606,Validation,32,320000.0,466023.4214966008,45.63231921768776,5456.188440915151,58.649000756712745,4.75,5,-0.1627267335392757,False,-0.3093118101925363
Core75_Dip25_10,FiveDayDrop_3.00,10,0.75,Development,104,1040000.0,2893205.7808204703,178.1928635404298,53127.18917517266,19.575663914213095,9.557692307692308,9,-0.16116135172258295,Validation,32,320000.0,466087.30696717754,45.65228342724299,5456.936410115892,58.640961878682404,9.3125,5,-0.1490404017166269,False,-0.31020175343920986
Core75_Dip25_10,ThreeDayDrop_2.00,10,0.75,Development,104,1040000.0,2893180.988194677,178.19047963410358,53126.73391459997,19.5758316645585,8.923076923076923,21,-0.16201689645523043,Validation,32,320000.0,466084.4404280398,45.65138763376244,5456.902848760416,58.64132253567439,8.71875,10,-0.14965450701267535,False,-0.3116714034679058
Core75_Dip25_15,RSI_40,15,0.75,Development,104,1040000.0,2890819.344457956,177.96339850557268,53083.367661706085,19.591824064889682,12.442307692307692,25,-0.24351257489546585,Validation,32,320000.0,466461.1781211498,45.769118162859314,5461.31368253311,58.59396083097264,12.625,9,-0.06894512142856524,False,-0.3124576963240311
Core75_Dip25_10,RSI_40,10,0.75,Development,104,1040000.0,2893285.0487065697,178.20048545255477,53128.6447508556,19.57512759598957,8.615384615384615,22,-0.15842597294561944,Validation,32,320000.0,466063.80394987325,45.6449387343354,5456.661237484159,58.64391906937195,8.71875,7,-0.15407550736359354,False,-0.312501480309213
