variant,filter,train_trades,train_win_rate,train_pf,train_exp,train_dd,train_dur,test_trades,test_win_rate,test_pf,test_exp,test_dd,test_dur
breakout_retest|or15|end=10:30|rr=1.5|atr=1.0|vol=0.8|vwap=0|ema=0|macro=none|band=1.2,direction=LONG & signal_bucket=10:00-10:30,24,66.66666666666666,3.000000000000059,0.6666666666666748,-1.9999999999999876,28.625,3,33.33333333333333,0.7499999999999846,-0.16666666666667895,-2.000000000000023,31.666666666666668
breakout_retest|or15|end=11:30|rr=1.5|atr=1.0|vol=0.8|vwap=0|ema=0|macro=none|band=1.2,direction=LONG & signal_bucket=10:00-10:30,24,66.66666666666666,3.000000000000059,0.6666666666666748,-1.9999999999999876,28.625,3,33.33333333333333,0.7499999999999846,-0.16666666666667895,-2.000000000000023,31.666666666666668
breakout_retest|or15|end=10:30|rr=2.0|atr=1.0|vol=1.2|vwap=0|ema=0|macro=none|band=1.2,macro_alignment=mixed_or_neutral & or_size=small_or,15,60.0,3.0000000000000546,0.8000000000000119,-2.000000000000008,68.26666666666667,1,0.0,0.0,-0.999999999999976,0.0,14.0
breakout_close|or30|end=10:30|rr=1.5|atr=1.0|vol=0.8|vwap=0|ema=0|macro=none|band=1.2,macro_alignment=aligned_1d_1w & or_size=small_or,18,66.66666666666666,3.000000000000044,0.6666666666666744,-2.49999999999992,33.166666666666664,0,0.0,0.0,0.0,0.0,0.0
breakout_retest|or30|end=10:30|rr=1.5|atr=1.0|vol=0.8|vwap=0|ema=0|macro=none|band=1.2,macro_alignment=aligned_1d_1w & or_size=small_or,18,66.66666666666666,3.000000000000044,0.6666666666666744,-2.49999999999992,33.166666666666664,0,0.0,0.0,0.0,0.0,0.0
breakout_retest|or30|end=11:30|rr=1.5|atr=1.0|vol=1.2|vwap=0|ema=0|macro=none|band=1.2,macro_alignment=mixed_or_neutral & or_size=small_or,15,66.66666666666666,3.0000000000000386,0.6666666666666772,-2.000000000000023,18.266666666666666,1,0.0,0.0,-0.999999999999976,0.0,14.0
breakout_close|or15|end=11:30|rr=1.5|atr=1.0|vol=1.2|vwap=0|ema=0|macro=none|band=1.2,macro_alignment=mixed_or_neutral & or_size=small_or,21,66.66666666666666,3.0000000000000258,0.6666666666666776,-3.000000000000041,39.476190476190474,2,0.0,0.0,-0.999999999999978,-0.999999999999976,11.5
ema_structure_break|or15|end=11:30|rr=1.5|atr=1.0|vol=1.2|vwap=0|ema=0|macro=not_both_against|band=1.2,gap_direction=gap_up,22,68.18181818181817,2.993826101869343,0.6343992142311511,-1.9999999999999947,46.31818181818182,8,25.0,0.5000000000000151,-0.3749999999999807,-3.999999999999936,38.375
ema_structure_break|or15|end=11:30|rr=1.5|atr=1.0|vol=1.2|vwap=1|ema=0|macro=not_both_against|band=1.2,gap_direction=gap_up,22,68.18181818181817,2.993826101869343,0.6343992142311511,-1.9999999999999947,46.31818181818182,8,25.0,0.5000000000000151,-0.3749999999999807,-3.999999999999936,38.375
vwap_pullback|or15|end=11:30|rr=1.5|atr=1.0|vol=1.2|vwap=0|ema=0|macro=none|band=1.2,macro_alignment=opposed_1d_1w & gap_direction=no_gap,16,62.5,2.9210526315789687,0.616554054054057,-3.135135135135114,37.5,0,0.0,0.0,0.0,0.0,0.0
fakeout_reversion|or30|end=11:30|rr=1.5|atr=1.0|vol=0.8|vwap=0|ema=0|macro=none|band=1.2,direction=SHORT & or_size=small_or,16,62.5,2.857142857142895,0.6093750000000089,-1.9999999999999623,55.625,1,0.0,0.0,-0.9999999999999668,0.0,64.0
breakout_retest|or15|end=10:30|rr=2.0|atr=1.0|vol=1.2|vwap=0|ema=0|macro=none|band=1.2,direction=SHORT & signal_bucket=09:30-10:00,15,60.0,2.850000000000036,0.7400000000000071,-2.9999999999999734,92.33333333333333,10,30.0,0.8571428571428619,-0.09999999999999572,-3.9999999999999227,92.1
breakout_retest|or15|end=11:30|rr=2.0|atr=1.0|vol=1.2|vwap=0|ema=0|macro=none|band=1.2,direction=SHORT & signal_bucket=09:30-10:00,15,60.0,2.850000000000036,0.7400000000000071,-2.9999999999999734,92.33333333333333,10,30.0,0.8571428571428619,-0.09999999999999572,-3.9999999999999227,92.1
breakout_retest|or30|end=10:30|rr=2.0|atr=1.0|vol=1.2|vwap=0|ema=0|macro=none|band=1.2,signal_bucket=10:00-10:30 & macro_alignment=aligned_1d_1w,15,60.0,2.8163265306122707,0.7265306122449025,-2.000000000000016,73.33333333333333,1,0.0,0.0,-0.9999999999999678,0.0,50.0
breakout_retest|or30|end=11:30|rr=2.0|atr=1.0|vol=1.2|vwap=0|ema=0|macro=none|band=1.2,signal_bucket=10:00-10:30 & macro_alignment=aligned_1d_1w,15,60.0,2.8163265306122707,0.7265306122449025,-2.000000000000016,73.33333333333333,1,0.0,0.0,-0.9999999999999678,0.0,50.0
ema_structure_break|or15|end=11:30|rr=1.5|atr=1.0|vol=1.2|vwap=0|ema=0|macro=none|band=1.2,macro_alignment=aligned_1d_1w & or_size=small_or,15,66.66666666666666,2.811764705882392,0.6039215686274607,-3.0000000000000107,46.86666666666667,0,0.0,0.0,0.0,0.0,0.0
ema_structure_break|or15|end=11:30|rr=1.5|atr=1.0|vol=1.2|vwap=0|ema=0|macro=not_both_against|band=1.2,macro_alignment=aligned_1d_1w & or_size=small_or,15,66.66666666666666,2.811764705882392,0.6039215686274607,-3.0000000000000107,46.86666666666667,0,0.0,0.0,0.0,0.0,0.0
ema_structure_break|or15|end=11:30|rr=1.5|atr=1.0|vol=1.2|vwap=1|ema=0|macro=none|band=1.2,macro_alignment=aligned_1d_1w & or_size=small_or,15,66.66666666666666,2.811764705882392,0.6039215686274607,-3.0000000000000107,46.86666666666667,0,0.0,0.0,0.0,0.0,0.0
