name,strength_atr,position_min,volume_quantile,target_r,volume_cutoff,Trades,WinRate,ProfitFactor,Expectancy,MaxDrawdown
opening_drive,0.5,0.7,0.25,1.5,0.6557702374544552,12,0.25,0.14507158816122723,-0.0034072132039254517,-0.04433823471515119
opening_drive,0.5,0.7,0.25,2.0,0.6557702374544552,12,0.25,0.14507158816122723,-0.0034072132039254517,-0.04433823471515119
opening_drive,0.5,0.7,0.5,1.5,0.9273838643283765,8,0.125,0.041756858009078114,-0.0046297806289441745,-0.03587148648982397
opening_drive,0.5,0.7,0.5,2.0,0.9273838643283765,8,0.125,0.041756858009078114,-0.0046297806289441745,-0.03587148648982397
opening_drive,0.5,0.7,0.75,1.5,1.3418780666299799,3,0.0,0.0,-0.004528227074931353,-0.011281154142737004
opening_drive,0.5,0.7,0.75,2.0,1.3418780666299799,3,0.0,0.0,-0.004528227074931353,-0.011281154142737004
opening_drive,0.5,0.8,0.25,1.5,0.6557702374544552,10,0.2,0.1293035632829462,-0.003965042101002925,-0.04315314472234211
opening_drive,0.5,0.8,0.25,2.0,0.6557702374544552,10,0.2,0.1293035632829462,-0.003965042101002925,-0.04315314472234211
opening_drive,0.5,0.8,0.5,1.5,0.9273838643283765,7,0.14285714285714285,0.04438146807201225,-0.004964635321782406,-0.035871486489823856
opening_drive,0.5,0.8,0.5,2.0,0.9273838643283765,7,0.14285714285714285,0.04438146807201225,-0.004964635321782406,-0.035871486489823856
opening_drive,0.5,0.8,0.75,1.5,1.3418780666299799,2,0.0,0.0,-0.00564944172285875,-0.009415990381725359
opening_drive,0.5,0.8,0.75,2.0,1.3418780666299799,2,0.0,0.0,-0.00564944172285875,-0.009415990381725359
opening_drive,0.5,0.9,0.25,1.5,0.6557702374544552,8,0.25,0.2497756471734409,-0.0022107651338627568,-0.021782871314421803
opening_drive,0.5,0.9,0.25,2.0,0.6557702374544552,8,0.25,0.2497756471734409,-0.0022107651338627568,-0.021782871314421803
opening_drive,0.5,0.9,0.5,1.5,0.9273838643283765,5,0.2,0.11206638450008823,-0.0025576294626699298,-0.014338584102737584
opening_drive,0.5,0.9,0.5,2.0,0.9273838643283765,5,0.2,0.11206638450008823,-0.0025576294626699298,-0.014338584102737584
opening_drive,0.5,0.9,0.75,1.5,1.3418780666299799,1,0.0,0.0,-0.0018828930639921406,0.0
opening_drive,0.5,0.9,0.75,2.0,1.3418780666299799,1,0.0,0.0,-0.0018828930639921406,0.0
